第137 个acc：97.777778	 rec：0.818182	 spe：1.000000	 pre：1.000000	 fm：0.900000;
第138 个acc：97.777778	 rec：0.818182	 spe：1.000000	 pre：1.000000	 fm：0.900000;
第139 个acc：97.777778	 rec：0.818182	 spe：1.000000	 pre：1.000000	 fm：0.900000;
第140 个acc：97.777778	 rec：0.818182	 spe：1.000000	 pre：1.000000	 fm：0.900000;
第141 个acc：93.333333	 rec：0.785714	 spe：0.960526	 pre：0.785714	 fm：0.785714;
第142 个acc：96.666667	 rec：0.666667	 spe：0.988095	 pre：0.800000	 fm：0.727273;
第143 个acc：96.666667	 rec：0.666667	 spe：0.988095	 pre：0.800000	 fm：0.727273;
第144 个acc：96.666667	 rec：0.666667	 spe：0.988095	 pre：0.800000	 fm：0.727273;
第145 个acc：96.666667	 rec：0.666667	 spe：0.988095	 pre：0.800000	 fm：0.727273;
第146 个acc：94.444444	 rec：0.700000	 spe：0.975000	 pre：0.777778	 fm：0.736842;
第147 个acc：98.888889	 rec：0.941176	 spe：1.000000	 pre：1.000000	 fm：0.969697;
第148 个acc：98.888889	 rec：0.941176	 spe：1.000000	 pre：1.000000	 fm：0.969697;
第149 个acc：98.888889	 rec：0.941176	 spe：1.000000	 pre：1.000000	 fm：0.969697;
第150 个acc：98.888889	 rec：0.941176	 spe：1.000000	 pre：1.000000	 fm：0.969697;
第151 个acc：98.888889	 rec：0.941176	 spe：1.000000	 pre：1.000000	 fm：0.969697;
第152 个acc：98.888889	 rec：0.941176	 spe：1.000000	 pre：1.000000	 fm：0.969697;
第153 个acc：93.333333	 rec：0.750000	 spe：0.972973	 pre：0.857143	 fm：0.800000;
第154 个acc：94.444444	 rec：0.666667	 spe：0.975309	 pre：0.750000	 fm：0.705882;
第155 个acc：94.444444	 rec：0.700000	 spe：0.975000	 pre：0.777778	 fm：0.736842;
第156 个acc：94.444444	 rec：0.666667	 spe：0.975309	 pre：0.750000	 fm：0.705882;
第157 个acc：94.444444	 rec：0.700000	 spe：0.975000	 pre：0.777778	 fm：0.736842;
第158 个acc：94.444444	 rec：0.700000	 spe：0.975000	 pre：0.777778	 fm：0.736842;
第159 个acc：94.444444	 rec：0.666667	 spe：0.975309	 pre：0.750000	 fm：0.705882;
第160 个acc：96.666667	 rec：0.850000	 spe：1.000000	 pre：1.000000	 fm：0.918919;
第161 个acc：96.666667	 rec：0.850000	 spe：1.000000	 pre：1.000000	 fm：0.918919;
第162 个acc：94.444444	 rec：0.333333	 spe：0.988095	 pre：0.666667	 fm：0.444444;
第163 个acc：97.777778	 rec：0.000000	 spe：0.988764	 pre：0.000000	 fm：NaN;
