第130 个acc：96.141479	 rec：0.870968	 spe：0.983936	 pre：0.931034	 fm：0.900000;
第131 个acc：96.784566	 rec：0.833333	 spe：0.982206	 pre：0.833333	 fm：0.833333;
第132 个acc：96.784566	 rec：0.833333	 spe：0.982206	 pre：0.833333	 fm：0.833333;
第133 个acc：96.784566	 rec：0.833333	 spe：0.982206	 pre：0.833333	 fm：0.833333;
第134 个acc：98.070740	 rec：0.871795	 spe：0.996324	 pre：0.971429	 fm：0.918919;
第135 个acc：98.070740	 rec：0.871795	 spe：0.996324	 pre：0.971429	 fm：0.918919;
第136 个acc：98.070740	 rec：0.871795	 spe：0.996324	 pre：0.971429	 fm：0.918919;
第137 个acc：98.070740	 rec：0.871795	 spe：0.996324	 pre：0.971429	 fm：0.918919;
第138 个acc：98.070740	 rec：0.871795	 spe：0.996324	 pre：0.971429	 fm：0.918919;
第139 个acc：98.070740	 rec：0.871795	 spe：0.996324	 pre：0.971429	 fm：0.918919;
第140 个acc：98.070740	 rec：0.871795	 spe：0.996324	 pre：0.971429	 fm：0.918919;
第141 个acc：97.106109	 rec：0.927273	 spe：0.980469	 pre：0.910714	 fm：0.918919;
第142 个acc：97.106109	 rec：0.800000	 spe：0.986014	 pre：0.833333	 fm：0.816327;
第143 个acc：97.106109	 rec：0.800000	 spe：0.986014	 pre：0.833333	 fm：0.816327;
第144 个acc：97.106109	 rec：0.800000	 spe：0.986014	 pre：0.833333	 fm：0.816327;
第145 个acc：97.106109	 rec：0.800000	 spe：0.986014	 pre：0.833333	 fm：0.816327;
第146 个acc：96.784566	 rec：0.833333	 spe：0.982206	 pre：0.833333	 fm：0.833333;
第147 个acc：96.141479	 rec：0.870968	 spe：0.983936	 pre：0.931034	 fm：0.900000;
第148 个acc：96.141479	 rec：0.870968	 spe：0.983936	 pre：0.931034	 fm：0.900000;
第149 个acc：96.141479	 rec：0.870968	 spe：0.983936	 pre：0.931034	 fm：0.900000;
第150 个acc：96.141479	 rec：0.870968	 spe：0.983936	 pre：0.931034	 fm：0.900000;
第151 个acc：96.141479	 rec：0.870968	 spe：0.983936	 pre：0.931034	 fm：0.900000;
第152 个acc：96.141479	 rec：0.870968	 spe：0.983936	 pre：0.931034	 fm：0.900000;
第153 个acc：91.318328	 rec：0.783333	 spe：0.944223	 pre：0.770492	 fm：0.776860;
第154 个acc：96.141479	 rec：0.708333	 spe：0.982578	 pre：0.772727	 fm：0.739130;
第155 个acc：97.106109	 rec：0.891892	 spe：0.981752	 pre：0.868421	 fm：0.880000;
第156 个acc：96.141479	 rec：0.708333	 spe：0.982578	 pre：0.772727	 fm：0.739130;
第157 个acc：97.106109	 rec：0.891892	 spe：0.981752	 pre：0.868421	 fm：0.880000;
第158 个acc：97.106109	 rec：0.891892	 spe：0.981752	 pre：0.868421	 fm：0.880000;
第159 个acc：96.141479	 rec：0.708333	 spe：0.982578	 pre：0.772727	 fm：0.739130;
第160 个acc：94.212219	 rec：0.857143	 spe：0.966805	 pre：0.882353	 fm：0.869565;
第161 个acc：94.855305	 rec：0.871429	 spe：0.970954	 pre：0.897059	 fm：0.884058;
第162 个acc：96.141479	 rec：0.611111	 spe：0.982935	 pre：0.687500	 fm：0.647059;
第163 个acc：97.749196	 rec：0.500000	 spe：0.993355	 pre：0.714286	 fm：0.588235;
第164 个acc：99.035370	 rec：0.904762	 spe：0.996552	 pre：0.950000	 fm：0.926829;
第165 个acc：98.713826	 rec：0.950000	 spe：0.989691	 pre：0.863636	 fm：0.904762;
第166 个acc：99.356913	 rec：0.942857	 spe：1.000000	 pre：1.000000	 fm：0.970588;
第167 个acc：99.356913	 rec：0.942857	 spe：1.000000	 pre：1.000000	 fm：0.970588;
第168 个acc：97.427653	 rec：0.902439	 spe：0.985185	 pre：0.902439	 fm：0.902439;
第169 个acc：95.176849	 rec：0.892857	 spe：0.964706	 pre：0.847458	 fm：0.869565;
第170 个acc：95.176849	 rec：0.892857	 spe：0.964706	 pre：0.847458	 fm：0.869565;
第171 个acc：94.533762	 rec：0.702703	 spe：0.978102	 pre：0.812500	 fm：0.753623;
第172 个acc：97.427653	 rec：0.533333	 spe：0.996622	 pre：0.888889	 fm：0.666667;
第173 个acc：97.427653	 rec：0.533333	 spe：0.996622	 pre：0.888889	 fm：0.666667;
第174 个acc：97.749196	 rec：0.900000	 spe：0.988930	 pre：0.923077	 fm：0.911392;
第175 个acc：95.498392	 rec：0.869565	 spe：0.969811	 pre：0.833333	 fm：0.851064;
第176 个acc：97.106109	 rec：0.921569	 spe：0.980769	 pre：0.903846	 fm：0.912621;
第177 个acc：94.855305	 rec：0.833333	 spe：0.963636	 pre：0.750000	 fm：0.789474;
第178 个acc：93.890675	 rec：0.714286	 spe：0.967391	 pre：0.735294	 fm：0.724638;
第179 个acc：96.463023	 rec：0.882353	 spe：0.974729	 pre：0.810811	 fm：0.845070;
第180 个acc：97.106109	 rec：0.920000	 spe：0.980843	 pre：0.901961	 fm：0.910891;
第181 个acc：97.106109	 rec：0.920000	 spe：0.980843	 pre：0.901961	 fm：0.910891;
第182 个acc：97.106109	 rec：0.920000	 spe：0.980843	 pre：0.901961	 fm：0.910891;
第183 个acc：97.106109	 rec：0.920000	 spe：0.980843	 pre：0.901961	 fm：0.910891;
第184 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第185 个acc：96.141479	 rec：0.739130	 spe：0.979167	 pre：0.739130	 fm：0.739130;
第186 个acc：96.141479	 rec：0.739130	 spe：0.979167	 pre：0.739130	 fm：0.739130;
第187 个acc：96.141479	 rec：0.739130	 spe：0.979167	 pre：0.739130	 fm：0.739130;
第188 个acc：96.784566	 rec：0.833333	 spe：0.979094	 pre：0.769231	 fm：0.800000;
第189 个acc：95.176849	 rec：0.770833	 spe：0.984791	 pre：0.902439	 fm：0.831461;
第190 个acc：96.141479	 rec：0.818182	 spe：0.978417	 pre：0.818182	 fm：0.818182;
第191 个acc：96.141479	 rec：0.818182	 spe：0.978417	 pre：0.818182	 fm：0.818182;
第192 个acc：96.141479	 rec：0.818182	 spe：0.978417	 pre：0.818182	 fm：0.818182;
第193 个acc：94.855305	 rec：0.871429	 spe：0.970954	 pre：0.897059	 fm：0.884058;
第194 个acc：94.855305	 rec：0.871429	 spe：0.970954	 pre：0.897059	 fm：0.884058;
第195 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第196 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第197 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第198 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第199 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第200 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第201 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第202 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第203 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
第204 个acc：94.212219	 rec：0.867470	 spe：0.969298	 pre：0.911392	 fm：0.888889;
